open,high,low,close,volume,timestamp,pred_boolean,profit_boolean
367.93,372.0,367.7,369.13,32184.70238,1599785999999.0,0.0,0.0
369.13,369.75,364.65,365.53,28194.55991,1599789599999.0,5.623393352158603e-32,0.0
365.53,366.44,362.46,362.92,29636.30417,1599793199999.0,1.0,-0.01620147135811312
362.93,364.29,356.61,357.05,58361.69289,1599796799999.0,1.0,0.0013444248382489378
357.03,360.59,355.49,357.51,48351.04307,1599800399999.0,0.0,0.0
357.51,363.06,356.84,361.95,36820.34193,1599803999999.0,0.0,0.0
361.95,363.87,360.29,362.39,29511.41273,1599807599999.0,0.0,0.0
362.39,364.31,361.27,362.3,28671.3246,1599811199999.0,1.0,0.00687294708658796
362.29,368.69,362.05,364.78,50341.02665,1599814799999.0,1.0,0.008059210526315783
364.8,368.5,364.79,367.74,32806.37843,1599818399999.0,3.110746516424521e-34,0.0
